Price,BHK,beds,baths,balcony,covered-parking,Carpet Area,Developer,Project,Floor,Transaction type,Status,Lifts,Address,Furnishing,Flooring,Water Availability,Status of Electricity
₹1.05 Cr,2 ,2Beds,2Baths,1Balcony,,850,Delhi Development Authority DDA,DDA Saraswati Kunj Apartment,2 (Out of 3 Floors),Resale,Ready to Move,,"Indraprastha Extension, Patparganj, New Delhi - East, Delhi NCR",Furnished,Vitrified,24 Hours Available,No/Rare Powercut
₹2.90 Cr,3 ,3Beds,3Baths,2Balconies,1 Covered Parking,1350,,,3 (Out of 4 Floors),New Property,Ready to Move,,"Janakpuri., Janakpuri, New Delhi - West, Delhi NCR",Unfurnished,Marble,24 Hours Available,No/Rare Powercut
₹5.0 Cr,3 ,3Beds,3Baths,2Balconies,,2000,,,1 (Out of 5 Floors),New Property,Ready to Move,,"Jangpura A, New Delhi - South, Delhi NCR",Semi-Furnished,,,
₹3.35 Cr,3 ,3Beds,3Baths,3Balconies,,225sqyrd,,,1 (Out of 4 Floors),New Property,Ready to Move,,"New Delhi, Janakpuri, New Delhi - West, Delhi NCR",Unfurnished,,,
₹1.95 Cr,3 ,3Beds,3Baths,3Balconies,,1600,Cooperative Group Housing Society,Sarve Satyam Apartment,6 (Out of 10 Floors),Resale,Ready to Move,,"Dwarka Sector 4, New Delhi, Sector 4 Dwarka, New Delhi - Dwarka, Delhi NCR",Unfurnished,Marble,,
₹2.0 Cr,3 ,3Beds,3Baths,2Balconies,1 Covered Parking,1200,,,3 (Out of 3 Floors),New Property,Ready to Move,,"Green Park, Green Park, New Delhi - South, Delhi NCR",Semi-Furnished,"Mosaic, Vitrified, Wooden, Granite",24 Hours Available,No/Rare Powercut
₹1.80 Cr,2 ,2Beds,2Baths,2Balconies,1 Covered Parking,100sqyrd,,,3 (Out of 3 Floors),New Property,Ready to Move,,"C99b kalkaji., Kalkaji Extention, New Delhi - South, Delhi NCR",Semi-Furnished,Marble,24 Hours Available,No/Rare Powercut
₹1.25 Cr,3 ,3Beds,3Baths,1Balcony,1 Covered Parking,720,,,4 (Out of 4 Floors),Resale,Ready to Move,,"xyz, Ashok Vihar, New Delhi - North, Delhi NCR",Semi-Furnished,Vitrified,24 Hours Available,No/Rare Powercut
₹1.30 Cr,2 ,2Beds,2Baths,,,800,,,Ground (Out of 4 Floors),Resale,Ready to Move,,"Na., Malviya Nagar, New Delhi - South, Delhi NCR",Semi-Furnished,Marble,6 Hours Available,No/Rare Powercut
₹29.0 Lac,2 ,2Beds,2Baths,1Balcony,,520,,,1 (Out of 4 Floors),New Property,Ready to Move,,"Uttam Nagar, Uttam Nagar, New Delhi - West, Delhi NCR",Semi-Furnished,Vitrified,24 Hours Available,No/Rare Powercut
₹1.72 Cr,3 ,3Beds,2Baths,2Balconies,1 Covered Parking,1650,,Progressive Apartment,6 (Out of 7 Floors),Resale,Ready to Move,2.0,"Dwarka Sector 3, New Delhi, Sector 3 Dwarka, New Delhi - Dwarka, Delhi NCR",Semi-Furnished,Mosaic,24 Hours Available,No/Rare Powercut
₹5.50 Cr,3 ,3Beds,3Baths,3Balconies,1 Covered Parking,2000,,,3 (Out of 3 Floors),Resale,Ready to Move,,"Greater Kailash 2, GK I, New Delhi - South, Delhi NCR",Semi-Furnished,"Wooden, Marble",24 Hours Available,No/Rare Powercut
₹2.10 Cr,3 ,3Beds,2Baths,3Balconies,1 Covered Parking,1450,Cooperative Group Housing Society,Happy Home Apartments,3 (Out of 9 Floors),Resale,Ready to Move,2.0,"Dwarka Sector 7, New Delhi, Sector 7 Dwarka, New Delhi - Dwarka, Delhi NCR",Semi-Furnished,Marble,24 Hours Available,No/Rare Powercut
₹6.50 Cr,3 ,3Beds,3Baths,2Balconies,,300sqyrd,,,1 (Out of 4 Floors),New Property,Ready to Move,,"New Delhi, GK I, New Delhi - South, Delhi NCR",Semi-Furnished,,,
₹5.50 Cr,3 ,3Beds,3Baths,2Balconies,,250sqyrd,,,Ground (Out of 4 Floors),New Property,Ready to Move,,"greater Kailash-2, GK II, New Delhi - South, Delhi NCR",Semi-Furnished,,,
₹2.15 Cr,3 ,3Beds,3Baths,3Balconies,1 Covered Parking,1650,,,5 (Out of 7 Floors),Resale,Ready to Move,2.0,"Dwarka Sector 10, New Delhi, Sector 10 Dwarka, New Delhi - Dwarka, Delhi NCR",Unfurnished,Mosaic,24 Hours Available,No/Rare Powercut
₹4.0 Cr,3 ,3Beds,3Baths,3Balconies,,1550,,,2 (Out of 4 Floors),Resale,Ready to Move,,"Greater Kailash E block, GK II, New Delhi - South, Delhi NCR",Semi-Furnished,,,
₹1.80 Cr,3 ,3Beds,3Baths,1Balcony,,1325,,,Ground (Out of 4 Floors),Resale,Ready to Move,,"Model Town Phase 3, New Delhi - North, Delhi NCR",Furnished,"Marble, Normal Tiles/Kotah Stone",24 Hours Available,No/Rare Powercut
₹1.11 Cr,3 ,3Beds,2Baths,,,1150,Delhi Development Authority DDA,DDA Shikha Apartment,3 (Out of 3 Floors),Resale,Ready to Move,,"Shikha apartment, Indraprastha Extension, New Delhi - East, Delhi NCR",Semi-Furnished,Normal Tiles/Kotah Stone,24 Hours Available,No/Rare Powercut
₹3.80 Cr,3 ,3Beds,3Baths,3Balconies,,1900,,,2 (Out of 4 Floors),New Property,Ready to Move,,"I block, Chittaranjan Park, New Delhi - South, Delhi NCR",Semi-Furnished,,,
₹4.25 Cr,3 ,3Beds,3Baths,2Balconies,,2160,,,1 (Out of 4 Floors),Resale,Ready to Move,,"New Delhi, Safdarjung Enclave, New Delhi - South, Delhi NCR",Unfurnished,"Wooden, Marble",,
₹4.25 Cr,3 ,3Beds,3Baths,4Balconies,2 Covered Parking,1600,Taneja Group,Greater Kailash Builder Floors,1 (Out of 4 Floors),New Property,Ready to Move,,"Gk-1, Greater Kailash, New Delhi - South, Delhi NCR",Semi-Furnished,"Marble, Vitrified",24 Hours Available,No/Rare Powercut
₹1.98 Cr,3 ,3Beds,3Baths,,1 Covered Parking,1600,Sachdeva Builder,Swami Dayanand Apartment,4 (Out of 8 Floors),Resale,Ready to Move,2.0,"Dwarka Sector 6, New Delhi, Sector 6 Dwarka, New Delhi - Dwarka, Delhi NCR",Furnished,Marble,24 Hours Available,No/Rare Powercut
₹2.05 Cr,3 ,3Beds,2Baths,2Balconies,1 Covered Parking,1250,Delhi Development Authority DDA,DDA Sunder Apartments,3 (Out of 4 Floors),Resale,Ready to Move,,"Paschim Vihar, New Delhi - West, Delhi NCR",Unfurnished,Vitrified,24 Hours Available,No/Rare Powercut
₹2.45 Cr,3 ,3Beds,3Baths,2Balconies,,1125,,,4 (Out of 4 Floors),New Property,Ready to Move,,"Double story, New Rajendra Nagar, New Delhi - Central, Delhi NCR",Unfurnished,,,
₹2.75 Cr,3 ,3Beds,3Baths,3Balconies,,200sqyrd,,,1 (Out of 3 Floors),Resale,Ready to Move,,"lajpat nagar 4, Amar Colony, New Delhi - South, Delhi NCR",Semi-Furnished,,,
₹1.60 Cr,2 ,2Beds,2Baths,3Balconies,,1100,,,3 (Out of 9 Floors),Resale,Ready to Move,2.0,"12., Sector D Vasant Kunj, New Delhi - South, Delhi NCR",Furnished,Ceramic Tiles,24 Hours Available,No/Rare Powercut
₹5.0 Cr,3 ,3Beds,3Baths,2Balconies,2 Covered Parking,1850,,,Ground (Out of 4 Floors),New Property,Ready to Move,,"Corner, Uday Park, New Delhi - South, Delhi NCR",Semi-Furnished,Marble,24 Hours Available,No/Rare Powercut
₹2.85 Cr,3 ,3Beds,3Baths,1Balcony,1 Covered Parking,1600,,,3 (Out of 4 Floors),Resale,Ready to Move,,"New Delhi, Naraina Vihar, New Delhi - West, Delhi NCR",Unfurnished,Mosaic,24 Hours Available,No/Rare Powercut
₹2.60 Cr,3 ,3Beds,4Baths,5Balconies,1 Covered Parking,1365,M2K,M2K Victoria Gardens,5 (Out of 19 Floors),Resale,Ready to Move,3.0,"Model Town, New Delhi, Azadpur, New Delhi - North, Delhi NCR",Semi-Furnished,Ceramic Tiles,24 Hours Available,No/Rare Powercut
₹1.95 Cr,3 ,3Beds,3Baths,2Balconies,,1600,The Antriksh Group,Rashi Apartments,2 (Out of 8 Floors),Resale,Ready to Move,,"Dwarka Sector 7, New Delhi, Sector 7 Dwarka, New Delhi - Dwarka, Delhi NCR",Unfurnished,"Marble, Normal Tiles/Kotah Stone",,
₹1.55 Cr,3 ,3Beds,3Baths,1Balcony,,1090,Delhi Development Authority DDA,DDA Delhi Police Apartment,2 (Out of 3 Floors),Resale,Ready to Move,,"New Delhi, Mayur Vihar 1, New Delhi - East, Delhi NCR",Semi-Furnished,,,
₹3.80 Cr,3 ,3Beds,3Baths,3Balconies,2 Covered Parking,1700,,,1 (Out of 4 Floors),New Property,Ready to Move,,"GK I, New Delhi - South, Delhi NCR",Unfurnished,"Granite, Marble, Marbonite",24 Hours Available,No/Rare Powercut
₹3.45 Cr,3 ,3Beds,3Baths,1Balcony,,1100,,,Ground (Out of 4 Floors),New Property,Ready to Move,,"New Delhi, Panchsheel Enclave, New Delhi - South, Delhi NCR",Unfurnished,,,
₹1.65 Cr,3 ,3Beds,2Baths,3Balconies,2 Covered Parking,1400,Cooperative Group Housing Society,Great India Apartment,3 (Out of 8 Floors),Resale,Ready to Move,,"Dwarka Sector 6, New Delhi, Sector 6 Dwarka, New Delhi - Dwarka, Delhi NCR",Unfurnished,Marble,24 Hours Available,No/Rare Powercut
₹68.0 Lac,3 ,3Beds,2Baths,,1 Covered Parking,900,,,2 (Out of 3 Floors),Resale,Ready to Move,,"d247 Krishna parkGupta Farm Devli road khanpur New Delhi-62, Khanpur, New Delhi - South, Delhi NCR",Semi-Furnished,"Granite, Vitrified",6 Hours Available,No/Rare Powercut
₹1.70 Cr,3 ,3Beds,2Baths,2Balconies,,1250,Cooperative Group Housing Society,GS Apartment,Ground (Out of 4 Floors),Resale,Ready to Move,,"sec 13, Rohini, New Delhi - Rohini, Delhi NCR",Semi-Furnished,,,
₹7.40 Cr,3 ,3Beds,4Baths,3Balconies,2 Covered Parking,270sqyrd,,,3 (Out of 4 Floors),New Property,Ready to Move,,"Anand Niketan, Anand Niketan, New Delhi - South, Delhi NCR",Semi-Furnished,"Ceramic Tiles, Wooden",24 Hours Available,No/Rare Powercut
₹1.25 Cr,2 ,2Beds,2Baths,,,920,,Siddhartha Extension Pocket C,2 (Out of 4 Floors),Resale,Ready to Move,,"Sidhartha Extention, New Delhi - South, Delhi NCR",Semi-Furnished,Ceramic Tiles,24 Hours Available,No/Rare Powercut
₹93.0 Lac,2 ,2Beds,2Baths,,,1100,Delhi Development Authority DDA,DDA MIG Flats Pocket 6,4 (Out of 4 Floors),Resale,Ready to Move,,"Sec - 12, Dwarka, New Delhi - 110075, Sector 12 Dwarka, New Delhi - Dwarka, Delhi NCR",Unfurnished,Marble,,
₹14.50 Cr,3 ,3Beds,3Baths,3Balconies,,3000,,,1 (Out of 2 Floors),Resale,Ready to Move,,"Jhandewalan Extension, New Delhi - Central, Delhi NCR",Unfurnished,"Ceramic Tiles, Normal Tiles/Kotah Stone",24 Hours Available,No/Rare Powercut
₹2.50 Cr,3 ,3Beds,3Baths,3Balconies,1 Covered Parking,1400,,,1 (Out of 3 Floors),New Property,Ready to Move,,"B-44., Anand Vihar, New Delhi - East, Delhi NCR",Semi-Furnished,"Ceramic Tiles, Granite, Marble",24 Hours Available,No/Rare Powercut
₹2.85 Cr,3 ,3Beds,3Baths,3Balconies,1 Covered Parking,1480,DLF Ltd.,DLF Capital Greens 1 and 2,7 (Out of 29 Floors),Resale,Ready to Move,4.0,"Moti Nagar, Shivaji Marg, New Delhi, New Moti Nagar, New Delhi - West, Delhi NCR",Semi-Furnished,Marble,24 Hours Available,No/Rare Powercut
₹2.20 Cr,2 ,2Beds,2Baths,2Balconies,,1200,,,Ground (Out of 2 Floors),Resale,Ready to Move,,"New Delhi, GK II, New Delhi - South, Delhi NCR",Unfurnished,,,
₹2.0 Cr,3 ,3Beds,2Baths,2Balconies,1 Covered Parking,1800,,,2 (Out of 4 Floors),Resale,Ready to Move,,"Model Town Phase 3, New Delhi - North, Delhi NCR",Semi-Furnished,"Marble, Normal Tiles/Kotah Stone",24 Hours Available,No/Rare Powercut
₹2.80 Cr,3 ,3Beds,3Baths,3Balconies,1 Covered Parking,1300,,Great Layalpore Apartments,6 (Out of 10 Floors),Resale,Ready to Move,2.0,"Dwarka, New Delhi, Sector 10 Dwarka, New Delhi - Dwarka, Delhi NCR",Furnished,"Ceramic Tiles, Marble",24 Hours Available,No/Rare Powercut
₹1.60 Cr, 1300 Sq-ft  2 ,2Beds,3Baths,1Balcony,,1200,,,Ground (Out of 4 Floors),Resale,Ready to Move,,"Keshav Puram, New Delhi - North, Delhi NCR",Semi-Furnished,"Marble, Normal Tiles/Kotah Stone",24 Hours Available,No/Rare Powercut
₹75.0 Lac,3 ,3Beds,2Baths,1Balcony,1 Covered Parking,990,,Abul Fazal Enclave,5 (Out of 5 Floors),Resale,Ready to Move,,"Abul fazal enclave 1 Okhla New Delhi., Okhla, New Delhi - South, Delhi NCR",Semi-Furnished,Vitrified,24 Hours Available,No/Rare Powercut
₹70.0 Lac,2 ,2Beds,2Baths,1Balcony,,810,,Duggal Housing Complex,1 (Out of 3 Floors),Resale,Ready to Move,,"Duggal housing complex khanpur New Delhi., Khanpur, New Delhi - South, Delhi NCR",Semi-Furnished,Marble,24 Hours Available,No/Rare Powercut
₹95.0 Lac,3 ,3Beds,2Baths,,,100sqyrd,,,2 (Out of 4 Floors),Resale,Ready to Move,,"J Block, Vikaspuri., Vikaspuri Block J, New Delhi - West, Delhi NCR",Semi-Furnished,"Vitrified, Marble",24 Hours Available,No/Rare Powercut
₹1.30 Cr,2 ,2Beds,,,,1000,,Private Builders Independent Floor,3 (Out of 4 Floors),Resale,Ready to Move,,"Nirankari Colony, Nirankari Colony, New Delhi - North, Delhi NCR",Unfurnished,"Ceramic Tiles, Marble",,
₹30.0 Lac,2 ,2Beds,2Baths,1Balcony,,72sqyrd,,,4 (Out of 4 Floors),Resale,Ready to Move,,"Chanakya Place 1, New Delhi - West, Delhi NCR",Semi-Furnished,"Vitrified, Marble",24 Hours Available,No/Rare Powercut
₹55.0 Lac,3 ,3Beds,2Baths,1Balcony,1 Covered Parking,900,,,3 (Out of 5 Floors),New Property,Ready to Move,,"rajpur khurd extension chhattarpur new delhi., Rajpur Khurd Extension, New Delhi - South, Delhi NCR",Semi-Furnished,Vitrified,24 Hours Available,No/Rare Powercut
₹60.0 Lac,3 ,3Beds,3Baths,,,890,,,3 (Out of 4 Floors),Resale,Ready to Move,,"H No 387 sudarshan park 3rd floor new delhi  110015, Sudarshan Park, New Delhi - West, Delhi NCR",Semi-Furnished,Marble,24 Hours Available,No/Rare Powercut
₹30.0 Lac,3 ,3Beds,2Baths,,1 Covered Parking,850,,,1 (Out of 4 Floors),New Property,Ready to Move,,"Plot no 333., Uttam Nagar, New Delhi - West, Delhi NCR",Semi-Furnished,Ceramic Tiles,24 Hours Available,No/Rare Powercut
₹30.0 Lac,3 ,3Beds,2Baths,,,850,,,1 (Out of 4 Floors),New Property,Ready to Move,,"Plot no 22, Uttam Nagar, New Delhi - West, Delhi NCR",Unfurnished,Ceramic Tiles,,
₹48.0 Lac,2 ,2Beds,2Baths,,,635,Cooperative Group Housing Society,Hari Enclave,Ground (Out of 2 Floors),Resale,Ready to Move,,"JD Block, Hari Enclave., Hari Nagar, New Delhi - West, Delhi NCR",Semi-Furnished,Ceramic Tiles,6 Hours Available,No/Rare Powercut
₹1.70 Cr,3 ,3Beds,2Baths,2Balconies,,1114,,Gagan Vihar CGHS Ltd,4 (Out of 4 Floors),New Property,Ready to Move,,"Krishna Nagar, New Delhi - East, Delhi NCR",Semi-Furnished,"Marble, Normal Tiles/Kotah Stone",,
₹40.0 Lac,3 ,3Beds,2Baths,,,85sqyrd,,,1 (Out of 4 Floors),Resale,Ready to Move,,"Mohan Garden, New Delhi - West, Delhi NCR",Furnished,Ceramic Tiles,,
₹2.0 Cr,3 ,3Beds,3Baths,2Balconies,2 Covered Parking,2300,,,Ground (Out of 4 Floors),Resale,Ready to Move,,"Manoj  motiram road, shahdra, Gorakh Park West, New Delhi - East, Delhi NCR",Semi-Furnished,"Marble, Normal Tiles/Kotah Stone",24 Hours Available,No/Rare Powercut
₹38.0 Lac,2 ,2Beds,2Baths,1Balcony,1 Covered Parking,675,,,2 (Out of 4 Floors),Resale,Ready to Move,,"Mahavir Enclave Part 1, New Delhi - West, Delhi NCR",Semi-Furnished,"Vitrified, Marble",6 Hours Available,No/Rare Powercut
₹20.5 Lac,2 ,2Beds,,1Balcony,,55sqyrd,,,4 (Out of 4 Floors),Resale,Ready to Move,,"Bhagwati Garden, New Delhi - West, Delhi NCR",Semi-Furnished,Normal Tiles/Kotah Stone,24 Hours Available,No/Rare Powercut
₹1.45 Cr,3 ,3Beds,3Baths,,,2000,,,2 (Out of 4 Floors),New Property,Ready to Move,,"Saket, Saket, New Delhi - South, Delhi NCR",Unfurnished,,,
₹85.0 Lac,3 ,3Beds,3Baths,1Balcony,5 Covered Parking,1350,,,1 (Out of 5 Floors),New Property,Ready to Move,,"Vishwakarma Colony, New Delhi, Vishwakarma Colony, New Delhi - South, Delhi NCR",Semi-Furnished,Vitrified,24 Hours Available,No/Rare Powercut
₹85.0 Lac,2 ,2Beds,,,,80sqyrd,,,2 (Out of 4 Floors),Resale,Ready to Move,,"Rajouri Garden, New Delhi - West, Delhi NCR",Semi-Furnished,,,
₹2.10 Cr,3 ,3Beds,3Baths,3Balconies,,1650,,Pawittra Apartment,8 (Out of 9 Floors),Resale,Ready to Move,,"Vasundhara Enclave, Vasundhara Enclave, New Delhi - East, Delhi NCR",Unfurnished,,,
₹80.0 Lac,2 ,2Beds,2Baths,1Balcony,,800,Delhi Development Authority DDA,DDA Bharat Apartments,1 (Out of 4 Floors),Resale,Ready to Move,,"Sector 16B Dwarka, New Delhi - Dwarka, Delhi NCR",Furnished,,,
₹65.0 Lac, 800 Sq-ft  2 ,2Beds,2Baths,,,750,,,Ground (Out of 3 Floors),Resale,Ready to Move,,"flat no. 562 sector 3 pocket 16 adarsh appt. dda flat dwarka new delhi, Sector 3 Dwarka, New Delhi - Dwarka, Delhi NCR",Semi-Furnished,,,
₹75.0 Lac,3 ,3Beds,2Baths,,1 Covered Parking,1000,,,1 (Out of 4 Floors),Resale,Ready to Move,,"on request, Kiran Garden, New Delhi - West, Delhi NCR",Semi-Furnished,Marble,24 Hours Available,No/Rare Powercut
₹1.20 Cr,3 ,3Beds,2Baths,1Balcony,1 Covered Parking,1350,,,3 (Out of 4 Floors),Resale,Ready to Move,,"House no 67, New Krishna Nagar, New Delhi - East, Delhi NCR",Semi-Furnished,Marble,24 Hours Available,No/Rare Powercut
₹37.0 Lac,2 ,2Beds,2Baths,1Balcony,,510,,,1 (Out of 4 Floors),Resale,Ready to Move,,"Block-C, Sewak Park, New Delhi - Dwarka, Delhi NCR",Unfurnished,Ceramic Tiles,,
₹75.0 Lac,3 ,3Beds,3Baths,,,1215,,,1 (Out of 4 Floors),New Property,Ready to Move,,"E-13, dwarka mor metro station, Dwarka Mor, New Delhi - West, Delhi NCR",Furnished,"Vitrified, Granite",,
₹1.45 Cr,2 ,2Beds,3Baths,,,1150,,,Ground (Out of 4 Floors),Resale,Ready to Move,,"Greater Kailash 2 New Delhi, GK II, New Delhi - South, Delhi NCR",Semi-Furnished,Ceramic Tiles,24 Hours Available,No/Rare Powercut
₹35.2 Lac,2 ,2Beds,2Baths,1Balcony,1 Covered Parking,700,,,1 (Out of 4 Floors),New Property,Ready to Move,,"Shree shyam apartments., Sector 28 Dwarka, New Delhi - Dwarka, Delhi NCR",Semi-Furnished,Ceramic Tiles,24 Hours Available,No/Rare Powercut
₹48.0 Lac,2 ,2Beds,2Baths,1Balcony,,670,,,3 (Out of 4 Floors),Resale,Ready to Move,,"New Delhi, Ram Nagar, New Delhi - East, Delhi NCR",Unfurnished,,,
₹75.0 Lac,2 ,2Beds,2Baths,,2 Covered Parking,1000,Qutub Devloper,Qutub Green Apartment,1 (Out of 4 Floors),Resale,Ready to Move,,"Mehrauli, New Delhi, Mehrauli, New Delhi - South, Delhi NCR",Unfurnished,Normal Tiles/Kotah Stone,24 Hours Available,No/Rare Powercut
₹1.25 Cr,2 ,2Beds,2Baths,,,825,,,2 (Out of 4 Floors),Resale,Ready to Move,,"Krishan nagar, karol bagh, new delhi, Karol Bagh, New Delhi - Central, Delhi NCR",Unfurnished,,,
₹64.0 Lac,2 ,2Beds,,,,720,,,2 (Out of 3 Floors),Resale,Ready to Move,,"Sri Niwaspuri, New Delhi - South, Delhi NCR",Unfurnished,Marble,,
₹95.0 Lac,2 ,2Beds,2Baths,,,900,Cooperative Group Housing Society,GS Apartment,3 (Out of 3 Floors),Resale,Ready to Move,,"Rohini, New Delhi - Rohini, Delhi NCR",Semi-Furnished,"Marble, Normal Tiles/Kotah Stone",24 Hours Available,No/Rare Powercut
₹43.0 Lac,3 ,3Beds,2Baths,,1 Covered Parking,1000,,,3 (Out of 4 Floors),Resale,Ready to Move,,"Rz 10, 2nd floor, indra park extension part 1, uttam nagar, new delhi, 110059., Pankha Road, New Delhi - West, Delhi NCR",Furnished,Ceramic Tiles,24 Hours Available,No/Rare Powercut
₹32.5 Lac,2 ,2Beds,,,,800,,,3 (Out of 3 Floors),Resale,Ready to Move,,"Sai Kripa Appartment., Palam Colony, New Delhi - Dwarka, Delhi NCR",Unfurnished,,,
₹1.60 Cr,3 ,3Beds,3Baths,3Balconies,,1500,,,2 (Out of 3 Floors),Resale,Ready to Move,,"House no. 67 Block K1 Chittaranjan Park New Delhi, Chittaranjan Park, New Delhi - South, Delhi NCR",Semi-Furnished,"Ceramic Tiles, Marble, Normal Tiles/Kotah Stone",24 Hours Available,No/Rare Powercut
₹60.0 Lac,3 ,3Beds,2Baths,1Balcony,1 Covered Parking,900,,,2 (Out of 4 Floors),Resale,Ready to Move,,"Old Mahavir Nagar, New Delhi - West, Delhi NCR",Semi-Furnished,Vitrified,24 Hours Available,No/Rare Powercut
₹50.0 Lac,2 ,2Beds,2Baths,1Balcony,1 Covered Parking,960,,,1 (Out of 4 Floors),Resale,Ready to Move,,"Flat no C-101 sector 28 dwarka Bamnoli near sbi bank New Delhi 110077, Sector 28 Dwarka, New Delhi - Dwarka, Delhi NCR",Semi-Furnished,Ceramic Tiles,24 Hours Available,No/Rare Powercut
₹70.0 Lac, 800 Sq-ft  2 ,2Beds,2Baths,1Balcony,,900,,,3 (Out of 3 Floors),Resale,Ready to Move,,"Dilshad colony, Dilshad Colony, New Delhi - East, Delhi NCR",Semi-Furnished,"Marble, Normal Tiles/Kotah Stone",24 Hours Available,No/Rare Powercut
₹85.0 Lac, 1000 Sq-ft  3 ,3Beds,2Baths,1Balcony,,900,,,1 (Out of 5 Floors),Resale,Ready to Move,,"Duggal Colony, New Delhi - South, Delhi NCR",Unfurnished,Ceramic Tiles,,
₹19.5 Lac, 630 Sq-ft  2 ,2Beds,2Baths,1Balcony,,550,,,3 (Out of 3 Floors),Resale,Ready to Move,,"WE block, Dwarka Mor, New Delhi - West, Delhi NCR",Unfurnished,Marble,,
₹34.5 Lac,3 ,3Beds,3Baths,,,1250,,,3 (Out of 3 Floors),Resale,Ready to Move,,"plot no 5253 k-1 extension jaildar enclave moham garden, Mohan Garden, New Delhi - West, Delhi NCR",Unfurnished,,,
₹40.0 Lac,3 ,3Beds,2Baths,,,100sqyrd,,,3 (Out of 3 Floors),Resale,Ready to Move,,"New Uttam Nagar, New Delhi - West, Delhi NCR",Unfurnished,,,
₹3.0 Cr,3 ,3Beds,2Baths,2Balconies,,1520,,,1 (Out of 4 Floors),Resale,Ready to Move,,"Rishabh Vihar, New Delhi - East, Delhi NCR",Unfurnished,,,
₹68.0 Lac,2 ,2Beds,2Baths,1Balcony,,750,,,1 (Out of 4 Floors),Resale,Ready to Move,,"Sant Nagar, East of Kailash, Sant Nagar - East of Kailash, New Delhi - South, Delhi NCR",Semi-Furnished,,,
₹4.05 Cr,3 ,3Beds,3Baths,2Balconies,,1600,,,2 (Out of 4 Floors),Resale,Ready to Move,,"Defence Colony, New Delhi - South, Delhi NCR",Furnished,"Marble, Wooden",24 Hours Available,No/Rare Powercut
₹1.50 Cr,2 ,2Beds,2Baths,1Balcony,,1125,,,3 (Out of 3 Floors),Resale,Ready to Move,,"70., J Block-Saket, New Delhi - South, Delhi NCR",Semi-Furnished,,24 Hours Available,No/Rare Powercut
₹3.50 Cr,3 ,3Beds,3Baths,2Balconies,,1800,,,2 (Out of 4 Floors),Resale,Ready to Move,,"J Block, Lajpat Nagar 3, New Delhi - South, Delhi NCR",Unfurnished,"Vitrified, Wooden, Ceramic Tiles",24 Hours Available,No/Rare Powercut
₹70.0 Lac,3 ,3Beds,2Baths,,,891,,,1 (Out of 4 Floors),Resale,Ready to Move,,"Hari Nagar, New Delhi, Hari Nagar, New Delhi - West, Delhi NCR",Semi-Furnished,Marble,,
₹65.0 Lac, 1000 Sq-ft  3 ,3Beds,2Baths,,1 Covered Parking,1000,,,1 (Out of 5 Floors),Resale,Ready to Move,,"N 50, chattarpur, new delhi, 110068, Chhattarpur, New Delhi - South, Delhi NCR",Semi-Furnished,"Vitrified, Marble",24 Hours Available,No/Rare Powercut
₹34.0 Lac,2 ,2Beds,2Baths,1Balcony,,60sqyrd,,,3 (Out of 3 Floors),Resale,Ready to Move,,"New Delhi, Uttam Nagar West, New Delhi - West, Delhi NCR",Semi-Furnished,,,
₹55.0 Lac,3 ,3Beds,2Baths,,,713,Aggarwal Real Estates,Uttam Nagar Floors,2 (Out of 4 Floors),Resale,Ready to Move,,"18A, Street 4, Uttam Nagar, New Delhi - West, Delhi NCR",Semi-Furnished,Ceramic Tiles,2 Hours Available,No/Rare Powercut
₹92.0 Lac,2 ,2Beds,2Baths,,,900,,,2 (Out of 3 Floors),Resale,Ready to Move,,"Malviya Nagar, New Delhi - South, Delhi NCR",Unfurnished,,,
₹80.0 Lac,3 ,3Beds,3Baths,1Balcony,,900,,,Ground (Out of 4 Floors),Resale,Ready to Move,,"Flat No 1337 Mahavir Enclavs Part 1 Near Palm, New Delhi, Delhi NCR",Unfurnished,,,
₹35.0 Lac,2 ,2Beds,,,,55sqyrd,,,2 (Out of 3 Floors),Resale,Ready to Move,,"Vikas Marg Shakarpur Khas, New Delhi - East, Delhi NCR",Semi-Furnished,"Mosaic, Marble, Normal Tiles/Kotah Stone",24 Hours Available,No/Rare Powercut
₹1.25 Cr,3 ,3Beds,2Baths,,,1270,,U&V Block Shalimar Bagh,1 (Out of 3 Floors),Resale,Ready to Move,,"Shalimar bagh, New Delhi - North, Delhi NCR",Furnished,,,
₹25.0 Lac,2 ,2Beds,2Baths,1Balcony,,540,,,2 (Out of 3 Floors),Resale,Ready to Move,,"Laxmi Nagar, New Delhi, Laxmi Nagar, New Delhi - East, Delhi NCR",Semi-Furnished,,,
₹3.65 Cr, 1600 Sq-ft  3 ,3Beds,3Baths,2Balconies,2 Covered Parking,1600,,,1 (Out of 4 Floors),Resale,,,"M506., Guru Harikishan Nagar, New Delhi - West, Delhi NCR",Semi-Furnished,,24 Hours Available,No/Rare Powercut
₹1.10 Cr,3 ,3Beds,2Baths,,,1200,Cooperative Group Housing Society,Samaj Kalyan Apartments,3 (Out of 3 Floors),Resale,Ready to Move,,"Flat No-38, Samaj Kalyan Apartment, Vikaspuri, New Delhi-18, Vikaspuri, New Delhi - West, Delhi NCR",Semi-Furnished,Vitrified,,
